,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
0,1,"(35.21794878674518, 31.795951273184997)",103042,10746,21,1,הר הרצל-ירושלים<->חיל האויר-ירושלים-10,73001-1-0,0,,"Tram, Streetcar, Light rail",13.449999809265137,13.449999809265137,1.0,0.13452750494529198,73001,1,0
1,2,"(35.217948786745175, 31.79595127318501)",103092,10747,21,1,חיל האויר-ירושלים<->הר הרצל-ירושלים-20,73001-2-0,0,,"Tram, Streetcar, Light rail",13.449999809265137,13.449999809265137,1.0,0.13452750494529192,73001,2,0
2,3,"(35.22302780785876, 31.837540673268258)",105816,20630,42,271,דרך בית חנינא/דג'אני-ירושלים<->דרך בית חנינא/דג'אני-ירושלים-32,17271-3-2,3,,Bus,5.230000019073486,5.230000019073486,1.0,0.052343001985010865,17271,3,2
3,4,"(35.17435506401925, 31.769711930390685)",108064,10815,3,728,בי''ח אלין/אולסוונגר-ירושלים<->עין כרם/ההדסים-ירושלים-2#,10728-2-#,3,FF9933,Bus,4.869999885559082,4.869999885559082,1.0,0.04869785221384461,10728,2,#
4,5,"(35.214799995365254, 31.878971658923305)",108989,20626,42,278,אל כרז-מטה בנימין<->אל כרז-מטה בנימין-32,11278-3-2,3,,Bus,4.139999866485596,2.359999895095825,0.5700482726097107,0.041373839437862686,11278,3,2
5,6,"(35.24208877841216, 31.7764412945988)",112420,27044,45,236,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-31,14236-3-1,3,,Bus,6.900000095367432,6.519999980926514,0.9449275135993958,0.0690200166288718,14236,3,1
6,7,"(35.22375392829135, 31.794306606074038)",115802,5502,3,22,שדרות נווה יעקב/משה סנה-ירושלים<->חניון תלפיות/ברעם-ירושלים-2#,12022-2-#,3,,Bus,17.850000381469727,17.850000381469727,1.0,0.17853160972722645,12022,2,#
7,8,"(35.13531081276515, 31.805215995420966)",116114,17105,34,195,נטף א-נטף<->בנייני האומה/שז''ר-ירושלים-20,12195-2-0,3,,Bus,16.559999465942383,4.900000095367432,0.29589372873306274,0.16556628451758768,12195,2,0
8,9,"(35.13690771328539, 31.804673089308757)",116115,17106,34,195,נטף א-נטף<->בנייני האומה/שז''ר-ירושלים-21,12195-2-1,3,,Bus,18.799999237060547,4.900000095367432,0.2606383264064789,0.187985891693424,12195,2,1
9,10,"(35.21851689926557, 31.786954999381706)",116438,26224,3,755,ממילא/קריב-ירושלים<->קרית מדע/גולדה-ירושלים-19,10755-1-9,3,FF9933,Bus,4.360000133514404,4.360000133514404,1.0,0.04355059850219127,10755,1,9
10,11,"(35.213124468929784, 31.769739493023025)",116718,10396,3,7,קמפוס ספרא/מסוף כפר ההייטק-ירושלים<->מסוף/רמת רחל-רמת רחל-2#,18007-2-#,3,,Bus,11.8100004196167,11.8100004196167,1.0,0.11806693185610315,18007,2,#
11,12,"(35.21493724845394, 31.765487053447828)",116719,10397,3,7א,קמפוס ספרא/מסוף כפר ההייטק-ירושלים<->מלון דיפלומט-ירושלים-2א,18007-2-א,3,,Bus,14.399999618530273,14.399999618530273,1.0,0.14400401252804565,18007,2,א
12,13,"(35.23124697483558, 31.803152627653404)",116743,5877,3,103,הרב פרדס/מאיר בלבן-ירושלים<->האומן/ברעם-ירושלים-2#,11103-2-#,3,9933FF,Bus,20.68000030517578,20.450000762939453,0.9888781905174255,0.20679232284234617,11103,2,#
13,14,"(35.17150017431923, 31.75818326892327)",117599,12407,3,29,תחנת רכבת קלה הר הרצל-ירושלים<->דולצ'ין/בן פורת-ירושלים-1#,27029-1-#,3,,Bus,6.53000020980835,6.53000020980835,1.0,0.06531991111442113,27029,1,#
14,15,"(35.17162519806616, 31.758332522206693)",117600,12408,3,29,אריה דולצ'ין/יעקב צור-ירושלים<->תחנת רכבת קלה הר הרצל-ירושלים-2#,27029-2-#,3,,Bus,6.46999979019165,6.46999979019165,1.0,0.06468580313306524,27029,2,#
15,16,"(35.17089016356912, 31.75882774675222)",117677,10181,3,20,דולצ'ין/קוליץ-ירושלים<->תחנת רכבת קלה הר הרצל-ירושלים-1#,16020-1-#,3,,Bus,6.710000038146973,6.710000038146973,1.0,0.06713876204304588,16020,1,#
16,17,"(35.17081639296689, 31.75881291650784)",117678,10182,3,20,תחנת רכבת קלה הר הרצל-ירושלים<->דולצ'ין/קוליץ-ירושלים-2#,16020-2-#,3,,Bus,6.75,6.75,1.0,0.06745294814105511,16020,2,#
17,18,"(35.18747715153588, 31.764196942237852)",117681,12378,3,21,מסוף אגד/קדיש לוז-ירושלים<->תחנת רק''ל יפה נוף-ירושלים-1#,17021-1-#,3,,Bus,4.329999923706055,4.329999923706055,1.0,0.0432731430029298,17021,1,#
18,19,"(35.18702471893983, 31.7648864238848)",117682,12379,3,21,תחנת רק''ל יפה נוף-ירושלים<->מסוף אגד/קדיש לוז-ירושלים-2#,17021-2-#,3,,Bus,4.46999979019165,4.46999979019165,1.0,0.04469628360436732,17021,2,#
19,20,"(35.187267895439405, 31.764433904340816)",117683,12870,3,21,מסוף אגד/קדיש לוז-ירושלים<->מסוף אגד/קדיש לוז-ירושלים-3#,17021-3-#,3,,Bus,8.720000267028809,8.720000267028809,1.0,0.08716391993443415,17021,3,#
20,21,"(35.22235071840593, 31.78144143060036)",117742,10805,3,19א,מסוף הר הצופים/בנימין מזר-ירושלים<->צומת פת/גולומב-ירושלים-2א,15019-2-א,3,,Bus,8.930000305175781,8.930000305175781,1.0,0.08932966482292563,15019,2,א
21,22,"(35.21059604976558, 31.795529349450973)",117766,5847,3,96,זקס-ירושלים<->המ''ג/ירמיהו-ירושלים-1ב,16096-1-ב,3,FF9933,Bus,4.710000038146973,4.710000038146973,1.0,0.04713971630840748,16096,1,ב
22,23,"(35.21236038014258, 31.79442405833199)",117767,5851,3,96,המ''ג/ירמיהו-ירושלים<->שבטי ישראל/הנביאים-ירושלים-2ד,16096-2-ד,3,FF9933,Bus,5.670000076293945,5.670000076293945,1.0,0.05671593037242752,16096,2,ד
23,24,"(35.17763158880066, 31.76270292349194)",117862,10189,3,24,היכל הספורט מלחה/אברהם שטרן-ירושלים<->תחנת רכבת קלה הר הרצל-ירושלים-1#,14024-1-#,3,,Bus,3.190000057220459,3.190000057220459,1.0,0.03188760980685817,14024,1,#
24,25,"(35.17743979181575, 31.76180049052675)",117863,10193,3,24,תחנת רכבת קלה הר הרצל-ירושלים<->היכל הספורט מלחה/אברהם שטרן-ירושלים-2#,14024-2-#,3,,Bus,3.700000047683716,3.700000047683716,1.0,0.03698299842269292,14024,2,#
25,26,"(35.179034168478054, 31.770924335879343)",117869,10209,3,28,עין כרם/ההדסים-ירושלים<->מלון רימונים/שחראי-ירושלים-1א,16028-1-א,3,,Bus,5.679999828338623,5.679999828338623,1.0,0.05679976810812377,16028,1,א
26,27,"(35.17031871600393, 31.771714926741854)",117872,10211,3,28,מלון רימונים/שחראי-ירושלים<->בית ספר חקלאי עין כרם-עין כרם בי''ס חקלאי-2#,16028-2-#,3,,Bus,7.440000057220459,7.440000057220459,1.0,0.07442964634441647,16028,2,#
27,28,"(35.171459770155415, 31.771546221081856)",117873,21808,3,28,מלון רימונים/שחראי-ירושלים<->בית ספר חקלאי עין כרם-עין כרם בי''ס חקלאי-2ז,16028-2-ז,3,,Bus,7.980000019073486,7.980000019073486,1.0,0.07979899191030193,16028,2,ז
28,29,"(35.171461797303294, 31.771844855035035)",117874,10212,3,28א,מלון רימונים/שחראי-ירושלים<->בית ספר חקלאי עין כרם-עין כרם בי''ס חקלאי-2ך,16028-2-ך,3,,Bus,8.600000381469727,8.600000381469727,1.0,0.08603511455009062,16028,2,ך
29,30,"(35.241273822886754, 31.820320704813362)",117913,10436,3,53,מסוף הר הצופים/בנימין מזר-ירושלים<->מסוף אגד/הרב פרדס-ירושלים-1א,12053-1-א,3,,Bus,16.3799991607666,15.880000114440918,0.9694750308990479,0.16383130060563053,12053,1,א
30,31,"(35.24109542650866, 31.834857589168532)",117914,12386,3,53,תחנת רקל''ה סיירת דוכיפת/משה דיין-ירושלים<->מסוף אגד/הרב פרדס-ירושלים-1ב,12053-1-ב,3,,Bus,6.170000076293945,5.670000076293945,0.9189627170562744,0.06167677551775078,12053,1,ב
31,32,"(35.23041965411828, 31.781779814336517)",117965,26099,3,51א,שמואל הנביא/פישל-ירושלים<->שמואל הנביא/בר אילן-ירושלים-3א,14051-3-א,3,,Bus,9.859999656677246,9.859999656677246,1.0,0.09859149574219374,14051,3,א
32,33,"(35.17263967130004, 31.76904492647607)",117973,10814,3,728,עין כרם/ההדסים-ירושלים<->בי''ח אלין/אולסוונגר-ירושלים-1#,10728-1-#,3,FF9933,Bus,4.099999904632568,4.099999904632568,1.0,0.04096187782855418,10728,1,#
33,34,"(35.20399704178246, 31.80871153939454)",117980,12396,3,716,מירסקי/מינץ-ירושלים<->המ''ג/ירמיהו-ירושלים-1#,12716-1-#,3,FF9933,Bus,16.579999923706055,16.40999984741211,0.9897466897964478,0.16576607007603297,12716,1,#
34,35,"(35.22817646730948, 31.800155474022514)",117990,12414,3,66א,מסוף אגד/פסגת זאב מזרח-ירושלים<->קמפוס ספרא/מסוף הכניסה לאוניברסיטה-ירושלים-1#,22066-1-#,3,,Bus,16.93000030517578,16.93000030517578,1.0,0.16931750595660985,22066,1,#
35,36,"(35.24941237692848, 31.823622044087976)",118017,14569,3,44,חיל האויר/הסיירת הירושלמית-ירושלים<->מרידור/יוספטל-ירושלים-1#,31044-1-#,3,,Bus,9.640000343322754,9.640000343322754,1.0,0.09639402723905674,31044,1,#
36,37,"(35.2494803841178, 31.82351387932569)",118018,14587,3,44,מסוף אגד/פסגת זאב מזרח-ירושלים<->חיל האויר/הסיירת הירושלמית-ירושלים-2#,31044-2-#,3,,Bus,9.869999885559082,9.869999885559082,1.0,0.09872507928152166,31044,2,#
37,38,"(35.20533356767193, 31.809211831433696)",118038,16014,3,811,מלכי ישראל/תחכמוני-ירושלים<->מינץ/רובין-ירושלים-2#,12811-2-#,3,FF9933,Bus,9.699999809265137,9.699999809265137,1.0,0.09704853386715058,12811,2,#
38,39,"(35.192307986019095, 31.777914408681852)",118045,16022,3,814,הפסגה/שד' הרצל-ירושלים<->מלכי ישראל/תחכמוני-ירושלים-1ב,10814-1-ב,3,FF9933,Bus,6.289999961853027,6.289999961853027,1.0,0.06288211652300439,10814,1,ב
39,40,"(35.1929027550869, 31.775906886824554)",118046,16023,3,814,מלכי ישראל/בן מתתיהו-ירושלים<->בית וגן/שדרות הרצל-ירושלים-2#,10814-2-#,3,FF9933,Bus,8.270000457763672,8.270000457763672,1.0,0.08271147762548205,10814,2,#
40,41,"(35.19365934873902, 31.799367709351664)",118049,16026,3,821,שיבת ציון/טללים-ירושלים<->בית וגן/עוזיאל-ירושלים-1#,12821-1-#,3,FF9933,Bus,15.529999732971191,15.359999656677246,0.9890534281730652,0.15525242160016217,12821,1,#
41,42,"(35.17418312144826, 31.787175685655047)",118071,16063,3,890,ישיבת ויזניץ/קצנלבוגן-ירושלים<->רוזנטל-ירושלים-2#,12890-2-#,3,FF9933,Bus,4.860000133514404,4.860000133514404,1.0,0.04864984993596699,12890,2,#
42,43,"(35.22178439048261, 31.794012794532815)",118082,19143,3,900,ככר הדוידקה/הנביאים-ירושלים<->בי''ס בית יעקב/עזרת תורה-ירושלים-1#,12900-1-#,3,FF9933,Bus,5.340000152587891,5.340000152587891,1.0,0.053363193566563966,12900,1,#
43,44,"(35.221110294492355, 31.79256240511382)",118083,19176,3,900,בי''ס בית יעקב/עזרת תורה-ירושלים<->ככר השבת/שטראוס-ירושלים-2#,12900-2-#,3,FF9933,Bus,5.150000095367432,5.150000095367432,1.0,0.05145092913965296,12900,2,#
44,45,"(35.19413773009387, 31.791639215039755)",118086,19168,3,902,כפר שאול/קצנלבוגן-ירושלים<->בי''ס בית יעקב/עזרת תורה-ירושלים-1#,10902-1-#,3,FF9933,Bus,8.890000343322754,8.890000343322754,1.0,0.0888584756936458,10902,1,#
45,46,"(35.19955166718014, 31.813261914471592)",118103,19164,3,971,ברנדייס-ירושלים<->שיבת ציון/טללים-ירושלים-2#,11971-2-#,3,FF9933,Bus,10.100000381469727,9.989999771118164,0.9891088604927063,0.10101631240263828,11971,2,#
46,47,"(35.19043882428368, 31.795970036818108)",118116,26271,3,842,שאולזון/רוזנטל-ירושלים<->שדרות גולדה מאיר/יצחק מירסקי-ירושלים-18,11842-1-8,3,FF9933,Bus,12.010000228881836,12.010000228881836,1.0,0.12014163712506298,11842,1,8
47,48,"(35.193692997447044, 31.773787111022735)",118147,20809,3,817,מסוף אגד/קדיש לוז-ירושלים<->מלכי ישראל/תחכמוני-ירושלים-1ז,10817-1-ז,3,FF9933,Bus,8.699999809265137,8.699999809265137,1.0,0.08701440620608278,10817,1,ז
48,49,"(35.193918435691586, 31.729565793037928)",118476,15138,50,231,מסוף הנביאים-ירושלים<->באב אל זקאק/דרך בית ג'אלא-גוש עציון-1#,12231-1-#,3,,Bus,19.010000228881836,9.25,0.4865860044956207,0.19009606660660947,12231,1,#
49,50,"(35.19926191152814, 31.7339405927674)",118477,15139,50,231,באב אל זקאק/דרך בית ג'אלא-גוש עציון<->מסוף הנביאים/הורדה-ירושלים-2#,12231-2-#,3,,Bus,15.75,9.210000038146973,0.584761917591095,0.1574609734632803,12231,2,#
50,51,"(35.218334310383796, 31.78247786265282)",119084,23559,3,1,שער האשפות/מעלה השלום-ירושלים<->בנייני האומה/שדרות שז''ר-ירושלים-22,34001-2-2,3,,Bus,6.25,6.25,1.0,0.06249642034514979,34001,2,2
51,52,"(35.24509446638643, 31.782310818361967)",119249,20283,47,255,צומת שיח' ענבר/אל סהל אל ג'דיד-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-21,11255-2-1,3,,Bus,4.590000152587891,4.590000152587891,1.0,0.04593444109217774,11255,2,1
52,53,"(35.246135454632274, 31.788033482078472)",119286,20624,45,226,מסוף סולטאן סולימאן-ירושלים<->כיכר אל חרדוב-ירושלים-12,12226-1-2,3,,Bus,5.929999828338623,4.760000228881836,0.8026981949806213,0.05931922643993299,12226,1,2
53,54,"(35.11785275035243, 31.745361891139147)",119522,15447,18,184,הזית ב-מטע<->בנייני האומה/הנשיא השישי-ירושלים-20,12184-2-0,3,,Bus,39.40999984741211,11.930000305175781,0.3027150630950928,0.39410380466441447,12184,2,0
54,55,"(35.13985774664685, 31.800643936845425)",121036,15514,34,185,מלון נווה אילן-נווה אילן<->בנייני האומה/שז''ר-ירושלים-20,11185-2-0,3,,Bus,14.989999771118164,4.96999979019165,0.3315543532371521,0.1498632882805486,11185,2,0
55,56,"(35.14094888075312, 31.800671563463553)",121037,8524,34,185,מלון נווה אילן-נווה אילן<->בנייני האומה/שז''ר-ירושלים-22,11185-2-2,3,,Bus,17.239999771118164,4.96999979019165,0.2882830500602722,0.17243019447202498,11185,2,2
56,57,"(35.115873789297744, 31.796700036450503)",121038,14101,34,186,ישיבת הרי יהודה-בית מאיר<->בנייני האומה/שז''ר-ירושלים-20,11186-2-0,3,,Bus,21.59000015258789,5.519999980926514,0.25567391514778137,0.21585073835167223,11186,2,0
57,58,"(35.14079456598866, 31.800422829034407)",121048,15513,34,185,היכל המשפט/אבא אבן-ירושלים<->מלון נווה אילן-נווה אילן-10,11185-1-0,3,,Bus,17.959999084472656,5.360000133514404,0.29844099283218384,0.17955906944722072,11185,1,0
58,59,"(35.134935981676584, 31.805318864492182)",121052,17104,34,195,היכל המשפט/אבא אבן-ירושלים<->נטף א-נטף-10,12195-1-0,3,,Bus,20.270000457763672,5.360000133514404,0.2644301950931549,0.20265949997442634,12195,1,0
59,60,"(35.20758218855179, 31.811447783143766)",121112,26275,38,843,הרב בצלאל זולטי/רבי שלמה זלמן דרוק-ירושלים<->שדרות גולדה מאיר/יצחק מירסקי-ירושלים-19,11843-1-9,3,FF9933,Bus,5.96999979019165,5.96999979019165,1.0,0.05965080426644152,11843,1,9
60,61,"(35.20696138540987, 31.81369824552577)",121114,5998,3,743,חזון איש/מסוף רמת שלמה-ירושלים<->ולנשטיין/קהילת אונגוואר-ירושלים-1#,10743-1-#,3,FF9933,Bus,10.34000015258789,10.229999542236328,0.9893616437911987,0.10338768768244753,10743,1,#
61,62,"(35.210730023508184, 31.81134168820185)",121124,26274,38,843,חזון איש/מסוף רמת שלמה-ירושלים<->שדרות גולדה מאיר/יצחק מירסקי-ירושלים-18,11843-1-8,3,FF9933,Bus,7.980000019073486,7.980000019073486,1.0,0.07979011430564124,11843,1,8
62,63,"(35.21546151271419, 31.80407492112891)",121182,10445,3,56,שטראוס/פראג-ירושלים<->חזון איש/הרב רפאל ברוך טולדנו-ירושלים-2#,16056-2-#,3,,Bus,9.380000114440918,9.380000114440918,1.0,0.09382085647457153,16056,2,#
63,64,"(35.228801040091, 31.80141997919671)",121189,12416,3,66,קמפוס ספרא/מסוף הכניסה לאוניברסיטה-ירושלים<->מרידור/יוספטל-ירושלים-2א,22066-2-א,3,,Bus,15.899999618530273,15.899999618530273,1.0,0.15897720827369602,22066,2,א
64,65,"(35.228533946271035, 31.801068538112794)",121190,12417,3,66א,קמפוס ספרא/מסוף הכניסה לאוניברסיטה-ירושלים<->מרידור/יוספטל-ירושלים-2ז,22066-2-ז,3,,Bus,15.630000114440918,15.630000114440918,1.0,0.15629302292028968,22066,2,ז
65,66,"(35.2191688855883, 31.755235862413517)",121377,15136,50,234,מעבר 300/דרך בית לחם-ירושלים<->מסוף הנביאים/הורדה-ירושלים-2#,10234-2-#,3,,Bus,7.21999979019165,7.21999979019165,1.0,0.07223588123112884,10234,2,#
66,67,"(35.21884882811068, 31.75481348425448)",121386,15135,50,234,מסוף הנביאים-ירושלים<->מעבר 300/דרך בית לחם-ירושלים-1#,10234-1-#,3,,Bus,7.429999828338623,7.429999828338623,1.0,0.07432037992563109,10234,1,#
67,68,"(35.21604326577746, 31.802270310582838)",121537,6054,3,783,שמואל הנביא/זקס-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,11783-1-#,3,FF9933,Bus,8.1899995803833,8.1899995803833,1.0,0.0818643699745267,11783,1,#
68,69,"(35.21525388266395, 31.802925854588736)",121567,6055,3,783,דרוק/קהילות יעקב-ירושלים<->זקס/שמואל הנביא-ירושלים-2#,11783-2-#,3,FF9933,Bus,7.699999809265137,7.699999809265137,1.0,0.0770482193546531,11783,2,#
69,70,"(35.23951859986678, 31.795424295594124)",121842,15146,49,201,מגרש כדורגל/אלבסאטין-ירושלים<->מסוף שער שכם/ענטר בן שדאד-ירושלים-2#,18201-2-#,3,,Bus,6.690000057220459,6.690000057220459,1.0,0.06686690596579521,18201,2,#
70,71,"(35.23637713373865, 31.78742636977653)",122081,15149,47,287,בני אומיה/צומת משרד הפנים-ירושלים<->בני אומיה/צומת משרד הפנים-ירושלים-3#,12287-3-#,3,,Bus,3.8499999046325684,3.8499999046325684,1.0,0.03851971698247909,12287,3,#
71,72,"(35.26554022509684, 31.78514613897634)",122162,20637,47,285,שכונת א זעים-גוש עציון<->שכונת א זעים-גוש עציון-32,15285-3-2,3,,Bus,25.700000762939453,7.730000019073486,0.30077821016311646,0.25699811477146545,15285,3,2
72,73,"(35.24437648504443, 31.783224606974333)",122312,15147,47,255,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-3#,11255-3-#,3,,Bus,7.329999923706055,7.329999923706055,1.0,0.0732595623043224,11255,3,#
73,74,"(35.2425805810936, 31.78375570463561)",122314,15150,47,275,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-3#,14275-3-#,3,,Bus,7.110000133514404,7.110000133514404,1.0,0.0711454488520019,14275,3,#
74,75,"(35.23912497239912, 31.773591003782823)",122315,20634,44,256,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-32,11256-3-2,3,,Bus,7.75,7.75,1.0,0.0774527698499035,11256,3,2
75,76,"(35.23904659416754, 31.775822784332284)",122316,15178,44,257,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-3#,10257-3-#,3,,Bus,6.230000019073486,6.230000019073486,1.0,0.062319235535592356,10257,3,#
76,77,"(35.23321155477432, 31.773611500799436)",122317,15174,44,276,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-3#,12276-3-#,3,,Bus,8.720000267028809,8.720000267028809,1.0,0.08718388302481041,12276,3,#
77,78,"(35.23130578646677, 31.773687080822572)",122318,20635,44,286,מסוף סולטאן סולימאן-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-32,11286-3-2,3,,Bus,7.820000171661377,7.820000171661377,1.0,0.07818078070700667,11286,3,2
78,79,"(35.24714200895673, 31.784241218043285)",122321,20625,45,226,כיכר אל חרדוב-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-22,12226-2-2,3,,Bus,3.7100000381469727,3.0299999713897705,0.8167115449905396,0.037135360100159547,12226,2,2
79,80,"(35.26108746969589, 31.778068659623678)",122322,15167,45,263,מסוף סולטאן סולימאן-ירושלים<->אוניברסיטת אבו דיס-ירושלים-1#,13263-1-#,3,,Bus,17.25,5.670000076293945,0.3286956548690796,0.17249856359929058,13263,1,#
80,81,"(35.26673456562992, 31.77009409307855)",122323,17248,45,263א,מסוף סולטאן סולימאן-ירושלים<->אוניברסיטת אבו דיס-ירושלים-11,13263-1-1,3,,Bus,19.420000076293945,5.670000076293945,0.2919670343399048,0.19416706090714947,13263,1,1
81,82,"(35.265190137767355, 31.777859245330866)",122324,15168,45,263,אוניברסיטת אבו דיס-ירושלים<->תחנה מרכזית סולטן סולימאן/רחוב סולטן סולימאן-ירושלים-2#,13263-2-#,3,,Bus,17.399999618530273,4.739999771118164,0.27241379022598267,0.17396032215592955,13263,2,#
82,83,"(35.17074950580494, 31.75869358887005)",122740,10184,3,20,דולצ'ין/קוליץ-ירושלים<->דולצ'ין/קוליץ-ירושלים-3#,16020-3-#,3,,Bus,13.710000038146973,13.710000038146973,1.0,0.13708961433534092,16020,3,#
83,84,"(35.1708531921642, 31.758820314320463)",122741,10185,3,20,דולצ'ין/קוליץ-ירושלים<->דולצ'ין/קוליץ-ירושלים-3א,16020-3-א,3,,Bus,13.460000038146973,13.460000038146973,1.0,0.13459171018410104,16020,3,א
84,85,"(35.1775285952629, 31.762218323779727)",122742,10195,3,24,היכל הספורט מלחה/אברהם שטרן-ירושלים<->היכל הספורט מלחה/אברהם שטרן-ירושלים-3#,14024-3-#,3,,Bus,6.889999866485596,6.889999866485596,1.0,0.06887060822955103,14024,3,#
85,86,"(35.177649057410484, 31.76112136303097)",122743,10197,3,24,שטרן/אורוגוואי-ירושלים<->היכל הספורט מלחה/אברהם שטרן-ירושלים-3ב,14024-3-ב,3,,Bus,8.039999961853027,8.039999961853027,1.0,0.08041386598014441,14024,3,ב
86,87,"(35.17156238128861, 31.758257531570646)",122747,12409,3,29,אריה דולצ'ין/יעקב צור-ירושלים<->דולצ'ין/בן פורת-ירושלים-3#,27029-3-#,3,,Bus,13.0,13.0,1.0,0.13000571424748633,27029,3,#
87,88,"(35.152072787467056, 31.8048447075842)",123472,17170,34,387,ממילא/קריב-ירושלים<->שד. הראל/האלה-הר אדר-10,13387-1-0,3,9933FF,Bus,25.6299991607666,8.369999885559082,0.32657042145729065,0.2562794585417419,13387,1,0
88,89,"(35.15534326345166, 31.804857636674438)",123473,17171,34,387,האלה / האורן-הר אדר<->ממילא/קריב-ירושלים-20,13387-2-0,3,9933FF,Bus,23.3799991607666,8.859999656677246,0.3789563775062561,0.2337850477389043,13387,2,0
89,90,"(35.210118063791604, 31.785376695470838)",123476,29438,21,1,גבעת המבתר-ירושלים<->הר הרצל-ירושלים-24,73001-2-4,0,,"Tram, Streetcar, Light rail",9.15999984741211,9.15999984741211,1.0,0.09160721623310178,73001,2,4
90,91,"(35.204615479142504, 31.814432911263317)",124067,6058,38,785,מינץ/רובין-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,11785-1-#,3,FF9933,Bus,8.609999656677246,8.609999656677246,1.0,0.08613999854930497,11785,1,#
91,92,"(35.20509299688737, 31.814563281028246)",124068,6059,38,785,דרוק/קהילות יעקב-ירושלים<->מינץ/רובין-ירושלים-2#,11785-2-#,3,FF9933,Bus,7.900000095367432,7.900000095367432,1.0,0.07895578531489275,11785,2,#
92,93,"(35.20382761202884, 31.811226078896382)",124071,6062,3,787,רקאנטי/המשורר אצ''ג-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,11787-1-#,3,FF9933,Bus,6.5,6.5,1.0,0.06501985116717293,11787,1,#
93,94,"(35.2041327018578, 31.811536592027668)",124072,6063,3,787,דרוק/קהילות יעקב-ירושלים<->רקאנטי/המשורר אצ''ג-ירושלים-2#,11787-2-#,3,FF9933,Bus,6.309999942779541,6.309999942779541,1.0,0.06311397066349449,11787,2,#
94,95,"(35.20703115625218, 31.800560694565803)",124078,16283,3,782,רבי ישראל נג'ארה/יונתן בן עוזיאל-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,11782-1-#,3,FF9933,Bus,8.760000228881836,8.760000228881836,1.0,0.08764884994389804,11782,1,#
95,96,"(35.215113692793906, 31.80429674482481)",124081,16020,3,813,מלכי ישראל/תחכמוני-ירושלים<->אגרות משה/חזון אי''ש-ירושלים-2#,10813-2-#,3,FF9933,Bus,9.1899995803833,9.1899995803833,1.0,0.09187038045725007,10813,2,#
96,97,"(35.207029845954764, 31.813038204095857)",124083,26276,38,843,שדרות גולדה מאיר/יצחק מירסקי-ירושלים<->אגרות משה/חזון אי''ש-ירושלים-29,11843-2-9,3,FF9933,Bus,9.510000228881836,9.399999618530273,0.9884331822395325,0.09506090416418378,11843,2,9
97,98,"(35.236656480440736, 31.826131010413892)",124168,6048,38,780,הרב ש''י זווין/הרב וינוגרד-ירושלים<->דרוק/קהילות יעקב-ירושלים-1#,10780-1-#,3,FF9933,Bus,10.079999923706055,9.680000305175781,0.9603174924850464,0.10081755365923296,10780,1,#
98,99,"(35.227652536209476, 31.822900717305032)",124180,26279,3,845,הרב ש''י זווין/הרב וינוגרד-ירושלים<->שדרות גולדה מאיר/יצחק מירסקי-ירושלים-19,11845-1-9,3,FF9933,Bus,13.470000267028809,12.930000305175781,0.9599109292030334,0.1347335848713013,11845,1,9
99,100,"(35.23388373956605, 31.817254039883384)",124181,16062,3,890,הרב ש''י זווין/הרב וינוגרד-ירושלים<->ככר הדוידקה/הנביאים-ירושלים-1#,12890-1-#,3,FF9933,Bus,10.979999542236328,10.979999542236328,1.0,0.10977420405448911,12890,1,#
100,101,"(35.23518998013687, 31.73378266614281)",124411,15128,51,213,סור באהר 1-ירושלים<->קופת חולים/אלמדינה אלמנוורה-ירושלים-3#,10213-3-#,3,,Bus,9.5600004196167,9.5600004196167,1.0,0.09555632261852447,10213,3,#
101,102,"(35.23048730414302, 31.75284243736497)",124412,15124,51,203,מסוף הנביאים-ירושלים<->אלמשאהד/נחל דרגה-ירושלים-1#,14203-1-#,3,,Bus,10.960000038146973,10.960000038146973,1.0,0.10964642448851405,14203,1,#
