,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
486,487,"(35.26425668993251, 31.78806772791845)",139971,5968,4,174,דרך הר הבית/האשל-מעלה אדומים<->בנייני האומה/שדרות שז''ר-ירושלים-2#,11174-2-#,3,,Bus,26.229999542236328,10.59000015258789,0.4037362039089203,0.26233161014145817,11174,2,#
487,488,"(35.26970660072728, 31.7918042561365)",139972,11570,4,178,היכל המשפט/שדרות הנשיא השישי-ירושלים<->עירייה-מעלה אדומים-1#,11178-1-#,3,,Bus,25.559999465942383,10.050000190734863,0.39319249987602234,0.2556177273566258,11178,1,#
488,489,"(35.26841811421235, 31.79077648924259)",139973,11571,4,178,דרך הר הבית/האשל-מעלה אדומים<->בנייני האומה/שדרות שז''ר-ירושלים-2#,11178-2-#,3,,Bus,25.940000534057617,10.59000015258789,0.40824979543685913,0.25941155304709496,11178,2,#
489,490,"(35.18129520344898, 31.828081324291407)",139978,17056,4,138,ברקת/ספיר-גבעת זאב<->אבני החושן/אלחמה-גבעת זאב-3#,12138-3-#,3,,Bus,12.239999771118164,3.930000066757202,0.32107844948768616,0.12237813102161856,12138,3,#
490,491,"(35.158158719028336, 31.798987212144166)",139982,10656,4,154,הבושם/מבוא קטורת-מבשרת ציון<->ת. מרכזית ירושלים/יפו-ירושלים-2#,12154-2-#,3,,Bus,16.3799991607666,4.78000020980835,0.29181933403015137,0.16378950568089623,12154,2,#
491,492,"(35.167313749028956, 31.799161000303467)",139983,10657,4,154,הראל/יסמין-מבשרת ציון<->ת. מרכזית ירושלים/יפו-ירושלים-2א,12154-2-א,3,,Bus,11.6899995803833,4.78000020980835,0.4088965356349945,0.11690382090824632,12154,2,א
492,493,"(35.16594074867952, 31.79490385048986)",139984,12181,4,159,תחנת רק''ל יפה נוף-ירושלים<->שורק/שיקמה-מבשרת ציון-1#,12159-1-#,3,,Bus,19.190000534057617,8.680000305175781,0.4523189067840576,0.19188722826248128,12159,1,#
493,494,"(35.17306736235929, 31.79454173327439)",139985,12182,4,159,שדרות החוצבים/מצפה הבירה-מבשרת ציון<->תחנת רק''ל יפה נוף-ירושלים-2#,12159-2-#,3,,Bus,13.619999885559082,8.1899995803833,0.6013215780258179,0.1361502045653324,12159,2,#
494,495,"(35.245051065031426, 31.78790661163976)",139986,11575,4,121,מסוף הר נוף/כנפי נשרים-ירושלים<->העירית/הכרכום-מעלה אדומים-1#,13121-1-#,3,,Bus,24.829999923706055,14.649999618530273,0.5900120735168457,0.2482710976019518,13121,1,#
495,496,"(35.25853153930705, 31.776773900654863)",139993,11566,4,125,האומן/ברעם-ירושלים<->העירית/הכרכום-מעלה אדומים-1#,15125-1-#,3,,Bus,20.190000534057617,10.449999809265137,0.5175829529762268,0.2018566404386583,15125,1,#
496,497,"(35.25869348990926, 31.77784086453397)",139994,11567,4,125,דרך צמח השדה/העירית-מעלה אדומים<->האומן/ברעם-ירושלים-2#,15125-2-#,3,,Bus,20.260000228881836,10.420000076293945,0.5143139362335205,0.20259461772296172,15125,2,#
497,498,"(35.24627042098247, 31.855005608754983)",139997,28035,4,148,תחנת רכבת קלה גבעת התחמושת-ירושלים<->מועצה אזורית מטה בנימין-פסגות-1#,15148-1-#,3,,Bus,21.790000915527344,6.380000114440918,0.2927948534488678,0.21785154789495045,15148,1,#
498,499,"(35.27837767946169, 31.77926032189971)",140001,26877,4,166,תחנת רכבת קלה גבעת התחמושת-ירושלים<->ספריית בני ציון-מעלה אדומים-1#,15166-1-#,3,,Bus,15.619999885559082,3.9600000381469727,0.2535211443901062,0.15624349455538433,15166,1,#
499,500,"(35.277375182319744, 31.782430061176413)",140005,28016,4,165,תחנת רכבת קלה גבעת התחמושת-ירושלים<->עירייה-מעלה אדומים-1#,17165-1-#,3,,Bus,14.979999542236328,3.9600000381469727,0.2643524706363678,0.14977581530524234,17165,1,#
500,501,"(35.243609363072316, 31.780096498546865)",140007,20564,4,129,מסעף ביה''ח הדסה-מטה יהודה<->תלמוד תורה/דרך קדם-מעלה אדומים-1#,18129-1-#,3,,Bus,35.25,19.799999237060547,0.5617021322250366,0.3525350609400619,18129,1,#
501,502,"(35.24386653072314, 31.780471507132816)",140008,20565,4,129,תלמוד תורה/דרך קדם-מעלה אדומים<->מסעף ביה''ח הדסה-מטה יהודה-2#,18129-2-#,3,,Bus,36.29999923706055,20.239999771118164,0.5575757622718811,0.362964779931011,18129,2,#
502,503,"(35.17951810054312, 31.712311814032685)",140009,11124,4,267,בנייני האומה/שז''ר-ירושלים<->סובת התאנה-אפרת-1#,10267-1-#,3,9933FF,Bus,33.209999084472656,13.430000305175781,0.40439629554748535,0.3320864054510437,10267,1,#
503,504,"(35.17788746785994, 31.709126991488958)",140010,11125,4,267,סובת התאנה-אפרת<->בנייני האומה-ירושלים-2#,10267-2-#,3,9933FF,Bus,32.369998931884766,12.1899995803833,0.3765832483768463,0.3237160907124601,10267,2,#
504,505,"(35.17294001892456, 31.713599280808033)",140011,29478,4,267,סובת התאנה-אפרת<->בנייני האומה-ירושלים-24,10267-2-4,3,9933FF,Bus,37.369998931884766,13.739999771118164,0.3676746189594269,0.3737340972470085,10267,2,4
505,506,"(35.24506062313833, 31.85313889066997)",140023,16923,4,269,ת. מרכזית ירושלים/יפו-ירושלים<->שדרות לוז/החלוצים-בית אל-11,11269-1-1,3,9933FF,Bus,35.099998474121094,12.720000267028809,0.36239320039749146,0.3509624063586194,11269,1,1
506,507,"(35.24607428290843, 31.852848438033682)",140024,16924,4,269,שדרות לוז/החלוצים-בית אל<->בנייני האומה-ירושלים-21,11269-2-1,3,9933FF,Bus,34.68000030517578,12.529999732971191,0.36130332946777344,0.34677645008493363,11269,2,1
507,508,"(35.277420143215245, 31.779618217244387)",140031,15727,4,211,זריחה/סובה-קדר<->חניון הלאום-ירושלים-2א,13211-2-א,3,9933FF,Bus,36.2599983215332,11.90999984741211,0.3284611105918884,0.36263226221640427,13211,2,א
508,509,"(35.2398656073158, 31.84586759462495)",140032,28037,4,270,ת. מרכזית ירושלים/יפו-ירושלים<->מועצה אזורית מטה בנימין-פסגות-1#,13270-1-#,3,9933FF,Bus,33.66999816894531,12.720000267028809,0.37778440117836,0.3366910814141853,13270,1,#
